Ntime,Time,Closing Price,Open Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
20080702,733591,21704.4492,21785.3906,21938.1992,21555.5293,254858.26,-646.0531999,-193.1151184,546.4805,23344.24592,22956.70941,22497.96286,-751.5703,22187.92768,-887.8516,-5.754486182,-0.06950893622,-401619.3698,71.99,1.6
20080703,733592,21242.7793,21389.4902,21742.0703,21163.5703,272528.48,-702.2826196,-186.9559575,578.5,23233.30243,22793.47797,22289.66071,-1392.3806,21909.45156,-1786.9102,-7.872372589,-0.06820145361,-507305.2571,72.73,1.6
20080704,733593,21423.8203,21402.1699,21534.0508,21344.8496,179634.42,-723.8917704,-133.7426671,291.2715,23123.37093,22663.03438,22152.2818,-1031.8496,21703.08164,-1634.1699,-8.15397729,-0.05811142917,-398848.614,72.71,1.6
20080707,733596,21913.0605,21402.6992,21916.2109,21402.6992,196457.92,-693.5448296,-77.44577669,513.5117,23033.5075,22591.6083,22069.02789,-129.2891,21677.22382,-1412.7403,-3.880007261,-0.03530274182,-264228.1697,72.71,1.6
20080708,733597,21220.8105,21632.6992,21684.2109,21098.8398,201519.68,-717.0873139,-108.6341229,814.2207,22911.84674,22461.05613,21919.61285,-881.1993,21500.98396,-1576.7989,-6.703666321,-0.0550056968,-518512.8442,72.96,1.6
20080709,733598,21805.8105,21740.8594,21954.1699,21531.9707,269124.14,-680.6936783,-48.90903703,733.3594,22806.95026,22398.65178,21854.59195,-296.1993,21521.25622,-939.7891,-4.002429958,-0.0366398737,-365068.5076,72.59,1.6
20080710,733599,21821.7793,21562.0703,22020.6602,21498.8691,251210.84,-643.1490888,-39.70867976,521.7911,22691.19718,22343.71155,21773.25389,117.3301,21637.05622,-893.1816,-2.82436609,-0.02822853216,-121585.1994,72.49,1.6
20080711,733600,22184.5508,21834.6406,22225.3809,21761.0391,216373.24,-577.4654408,11.42154294,464.3418,22606.91991,22328.55338,21746.14198,941.7715,21789.20232,-271.4687,-1.990748473,0.006409920186,-968.1786386,71.91,1.6
20080714,733603,22014.4609,22205,22360.2891,21871.5996,149491.95,-532.9915156,25.15906516,488.6895,22525.81263,22298.63981,21743.35311,590.6406,21809.4824,-620.699,-1.96479999,-0.003961128458,30452.53142,71.96,1.6
20080715,733604,21174.7695,21644.0391,21644.0391,21077.2402,214014.8,-559.0572241,-108.8039991,937.2207,22407.33111,22191.60454,21650.62908,-738.291,21800.2742,-1280.9004,-3.93596924,-0.02440419912,67780.8984,71.7,1.6
20080716,733605,21223.5,20988.7402,21334.3809,20988.7402,178406.52,-569.2207197,-123.2292985,345.6407,22285.0742,22099.40411,21602.53416,2.6895,21683.8121,-818.8496,-3.974795993,-0.0009075695665,149545.9805,72.06,1.6
20080717,733606,21734.7207,21825.2402,21892.5293,21672.2695,228994.76,-529.915588,18.46476521,669.0293,22221.96655,22064.67236,21651.7283,-71.0898,21666.40038,-367.2891,-1.661790504,0.01430432,-75608.34881,72.05,1.6
20080718,733607,21874.1895,22010.9395,22010.9395,21677.1504,184207.64,-481.9563289,45.79969026,333.7891,22166.06617,22046.53113,21696.76522,52.4102,21604.32812,169.7403,0.782053018,-0.001773873622,-37416.21098,72.17,1.6
20080721,733610,22532.9004,22523.2793,22645.5195,22455.0098,257157.68,-386.3422926,202.1109465,771.33,22147.18313,22092.85201,21758.74921,348.3496,21708.01602,1290.1211,6.073221784,0.05822996049,-101266.5551,71.84,1.6
20080722,733611,22527.4805,22430.5898,22690.7402,22393.1406,150588.65,-307.460606,159.8784972,297.5996,22144.69004,22134.2452,21889.41621,513.0196,21978.55822,1103.6602,5.151556466,0.03203509598,-107861.5765,72.43,1.6
20080723,733612,23134.5508,22900.7695,23134.5508,22871.0391,258674.56,-193.7276299,191.1743043,607.0703,22148.72317,22229.5124,22022.29024,1959.7813,22360.76838,1221.4903,5.57425696,0.05674506116,36562.55938,72.81,1.6
20080724,733613,23087.7207,23330.8906,23369.0508,23062.6191,258970.86,-106.1486095,160.8278877,306.4317,22149.86665,22311.24653,22148.88438,1864.2207,22631.36838,1866.9102,8.797544279,0.03911905864,-132990.7388,72.85,1.6
20080725,733614,22740.7109,22751.5098,22843.1992,22542.0801,191765.26,-64.00459057,81.22167907,545.6406,22127.36319,22352.1479,22204.50039,1005.9902,22804.67266,934.9004,4.287391198,0.03193611683,-113895.7432,72.81,1.6
20080728,733617,22687.2109,22801.8496,22862.0293,22619.2305,108176.44,-34.52418155,69.34850898,242.7988,22123.11709,22384.05866,22271.77539,813.0214,22835.53476,865.4316,3.965907583,0.06666493324,-293883.2551,72.69,1.6
20080729,733618,22258,22265.9297,22265.9297,22089.0898,140323.27,-45.27260317,-0.9383368229,598.1211,22104.36326,22372.05307,22380.09844,-274.9004,22781.63866,73.4492,0.331082656,0.04647767095,-147904.3208,73.3,1.6
20080730,733619,22690.5996,22637.3301,22751.0391,22573.1797,196874.8,-18.66843433,53.19288134,493.0391,22103.42629,22402.39084,22526.8084,163.1191,22692.84842,676.1387,3.071338894,0.0421266479,-29275.43523,73.3,1.6
20080731,733620,22731.0996,22878.7598,22878.7598,22695.7305,157266.21,5.618802622,57.92734375,188.1602,22114.00629,22433.69643,22626.44629,-403.4512,22621.5242,1556.3301,7.349926997,0.03769769677,-36042.21084,73.2,1.6
20080801,733621,22862.5996,22497.9004,22881.2695,22207.3105,180020.6,35.07326117,37.58888507,673.959,22122.75397,22474.54435,22725.2873,-225.1211,22645.90194,1639.0996,7.723040969,0.01442089726,-36408.24953,73.37,1.61
