Close Price,Volume,EMA20,WVAD,US Dollar Index,Federal Fund Rate
752.44,909374.0,893.4858175,-51630529.85,88.22,0.49
800.03,949590.0,884.5852633999999,-47217218.48,87.65,0.57
851.81,787944.0,881.4638097999999,-24964034.66,85.867,0.62
857.39,695270.0,879.171066,-12289887.43,84.77,0.59
887.68,579326.0,879.9814407,-5900521.728999999,85.78,0.53
896.24,274086.0,881.5298749,4266525.395,86.55,0.52
816.21,605201.0,875.3089344,-2505072.149,87.05,0.52
848.81,617010.0,872.7852264,-5476476.4120000005,86.57,0.47
870.74,622188.0,872.5904429,5401386.8379999995,86.7,0.36
845.22,586039.0,869.9837341,-7462459.107999999,86.52,0.2
876.07,616537.0,870.5633784,-5759097.73,86.82,0.12
909.7,655360.0,874.2906757000001,6485778.853999999,85.51,0.12
888.67,569311.0,875.6601352,-11840859.04,85.84,0.13
899.24,594213.0,877.9058366,2597499.825,85.45,0.11
873.59,551384.0,877.4948045,7445450.624,83.63,0.14
879.73,595959.0,877.7076803,-496005.3436,83.66,0.15
868.57,498239.0,876.837425,-1078149.5559999999,82.13,0.18
913.18,600978.0,880.2986225999999,17723737.83,80.35,0.17
904.42,590738.0,882.5958967,28410211.95,78.49,0.12
885.28,567500.0,882.8515256000001,9637665.566,79.78,0.11
887.88,670531.0,883.3304278999999,19093610.41,81.1,0.11
871.63,486985.0,882.2161014000001,21972173.99,81.26,0.11
863.16,405197.0,880.4012346000001,15270969.57,81.45,0.11
868.15,154655.0,879.2344504,30118442.04,80.98,0.11
872.8,188005.0,878.6216456000001,46682634.33,81.13,0.09
869.42,332343.0,877.7452983999999,29990620.07,81.53,0.1
890.64,362780.0,878.9733652000001,23092162.01,80.94,0.09
903.25,417294.0,881.2854257000001,27467118.5,81.17,0.14
931.8,404827.0,886.0963375,25966400.11,81.48,0.08
927.45,541391.0,890.0347814999999,21109066.63,82.55,0.11
934.7,539262.0,894.2886118999999,36718428.0,82.78,0.09
906.65,470494.0,895.4658868999999,15210473.9,82.17,0.11
909.73,499155.0,896.8243739,10272714.95,81.58,0.1
890.35,471650.0,896.2077669,9457905.242999999,82.52,0.09
