Date,Ntime,Open Price,High Price,Low price,Closing Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20080725,733614,4440.85,4440.85,4297.15,4311.85,161681204,-19.35,143.57,143.7,4086.9,4196.696671,4324.36,4137.875,364.65,154.75,3.722546968,0.06311676,240249461.9,72.81,9.18
20080728,733617,4282.25,4352.65,4282.25,4332.1,111107965,-7.68,110.32,70.4,4101.48,4209.592226,4358.88,4167.115,239.85,169.9,4.081975878,0.108723252,389629192.7,72.69,8.88
20080729,733618,4332.2,4332.2,4159.15,4189.85,125806260,-9.81,56.6,173.05,4116.13,4207.712014,4348.83,4199.99,30.35,140.85,3.4786367,0.089060468,230050585.4,73.3,8.63
20080730,733619,4191.2,4327,4191.2,4313.55,151936263,-1.49,72.01,137.15,4127.14,4217.791823,4316.18,4249.675,73.45,273.85,6.778968735,0.084930046,235783782.3,73.3,9.2
20080731,733620,4314.35,4342,4285.55,4332.95,199677047,6.59,82.22,56.45,4147.5,4228.759268,4296.06,4288.25,-143.85,471.85,12.22061071,0.055551068,463121611.1,73.2,8.51
20080801,733621,4331.6,4422.95,4235.7,4413.55,178077599,19.28,88.56,187.25,4167.38,4246.358385,4316.4,4320.38,-20,596.85,15.63785469,0.057561373,638918679.2,73.37,6.31
20080804,733624,4426.1,4436.15,4362.9,4395.35,131343663,27.54,94.93,73.25,4185.65,4260.548063,4329.05,4343.965,83.5,448.15,11.35361775,0.035321419,703046442.2,73.5,9.34
20080805,733625,4395.8,4515.15,4376,4502.85,194984174,42.28,111.77,139.15,4211.36,4283.624438,4391.65,4370.24,170.75,410.6,10.0336001,0.005785225,700118090.1,73.96,9.3
20080806,733626,4506.25,4615.9,4503.9,4517.55,175692787,54.52,129.46,113.05,4229.38,4305.903063,4432.45,4374.315,327.7,358.05,8.60800577,0.018594149,835146620.4,74.25,9.21
20080807,733627,4515.25,4580.15,4493.7,4523.85,133711940,63.99,110.08,86.45,4247.47,4326.659914,4470.63,4383.345,210.3,283.75,6.69205915,0.046862739,749358116.8,74.54,9.21
20080808,733628,4518.35,4546.35,4464,4529.5,114202272,71.13,93.79,82.35,4271.49,4345.978017,4493.82,4405.11,196.55,52.7,1.177180129,0.043580969,733526239.7,75.84,9.2
20080811,733631,4529.35,4625.2,4529.35,4620.4,112939704,83.16,113.68,95.85,4300.53,4372.113444,4538.83,4433.94,206.85,186.85,4.214455684,0.093184573,881698939.7,76.27,9.17
20080812,733632,4620.95,4649.85,4525.75,4552.25,123375933,86.21,103.46,124.1,4335.08,4389.269307,4548.71,4470.18,156.9,240.4,5.575333094,0.052435609,678766219,76.17,9.27
20080813,733633,4548.05,4572.65,4497.25,4529.05,105825121,85.76,81.46,75.4,4370.7,4402.581754,4551.01,4491.73,26.2,196.95,4.546293945,0.043298263,639729312.7,76.26,9.33
20080814,733634,4524.2,4529.8,4421.25,4430.7,95028617,76.59,40.53,108.55,4394.88,4405.259682,4532.38,4501.505,-86.85,240.85,5.748415814,0.00387072,637799073.8,76.71,9.33
20080818,733638,4430.7,4447.4,4379.85,4393.05,96897991,65.53,1.73,67.55,4409.92,4404.096855,4505.09,4499.455,-130.8,79.5,1.843029523,-0.00052328,592428708.9,77.18,9.48
20080819,733639,4393.1,4393.7,4316.55,4368.25,96476193,54.13,-39.97,77.15,4420.35,4400.682869,4454.66,4496.745,-161.25,35.3,0.814687453,-0.029892179,685262013,76.76,9.316
20080820,733640,4365.45,4434.9,4365.45,4415.75,89434446,48.38,-15.45,69.45,4429.14,4402.117834,4427.36,4488.035,-204.65,2.2,0.049846495,-0.022534338,814082754.4,76.93,9.6
20080821,733641,4416.2,4418.55,4271.3,4283.85,91313625,32.8,-72.86,147.25,4419.49,4390.854231,4378.32,4464.665,-268.4,-111.5,-2.536771816,-0.053052157,578446725.8,76.08,9.77
20080822,733642,4283.85,4337,4248,4327.45,101435362,23.69,-80.17,89,4414.19,4384.815732,4357.67,4445.025,-201.6,-175.4,-3.895310748,-0.044607573,505282010.1,76.74,9.74
20080825,733645,4317.95,4398.8,4317.95,4335.35,79239792,16.92,-46.08,80.85,4415.36,4380.10471,4346.13,4425.61,-95.35,-182.2,-4.033159567,-0.061693793,425885609.8,76.81,9.77
20080826,733646,4335.2,4345.05,4283.3,4337.5,86937484,11.6,-67.14,61.75,4415.63,4376.047119,4339.98,4397.32,-55.55,-186.35,-4.119278933,-0.047174474,320476096.2,77.27,9.05
20080827,733647,4336.85,4364.25,4282.65,4292.1,84380597,3.67,-79.87,81.6,4420.74,4368.052155,4315.25,4371.305,-76.15,-237.4,-5.2411966,-0.052317815,54655513.04,77.04,9.04
20080828,733648,4290.75,4304.5,4201.85,4214,161197240,-8.81,-131.76,102.65,4415.77,4353.380521,4301.28,4339.8,-201.75,-406.4,-8.795775258,-0.04890875,-16714741.36,77.15,8.31
