'Close_Price', 'Open_Price', 'High_Price', 'Low_Price', 'Volume', 'MACD', 'CCI', 'ATR', 'BOLL', 'EMA20', 'MA10', 'MTM6', 'MA5', 'MTM12', 'ROC', 'SMI', 'WVAD', 'US_Dollar_Index', 'Federal_Fund_Rate' 
1281.1950,1276.4000,1292.1800,1263.2000,514309.5000,-3.8032,73.6525,30.3200,1259.3512,1270.1871,1267.5710,5.3750 ,1273.4930,1.6000 ,0.1231 ,0.0272 ,15949750.6260,75.1900,1.9850 
1281.1950,1276.4000,1292.1800,1263.2000,514309.5000,-3.8032,73.6525,30.3200,1259.3512,1270.1871,1267.5710,5.3750 ,1273.4930,1.6000 ,0.1231 ,0.0272 ,15949750.6260,75.1900,1.9850 
1297.4550,1299.6050,1308.9700,1288.5250,488930.0000,0.8380 ,137.7970,20.7100,1262.3688,1275.4236,1277.9135,42.7950,1288.8270,42.3050,3.3723 ,0.0182 ,19388519.2600,76.2200,1.9700 
1297.4550,1299.6050,1308.9700,1288.5250,488930.0000,0.8380 ,137.7970,20.7100,1262.3688,1275.4236,1277.9135,42.7950,1288.8270,42.3050,3.3723 ,0.0182 ,19388519.2600,76.2200,1.9700 
1289.3800,1285.3750,1297.0700,1275.8500,442580.0000,2.1983 ,66.2554,21.2200,1264.4800,1277.8115,1280.6675,2.3450 ,1291.3120,40.5950,3.2612 ,0.0198 ,18885406.4550,76.4850,2.0350 
1289.3800,1285.3750,1297.0700,1275.8500,442580.0000,2.1983 ,66.2554,21.2200,1264.4800,1277.8115,1280.6675,2.3450 ,1291.3120,40.5950,3.2612 ,0.0198 ,18885406.4550,76.4850,2.0350 
1288.4000,1295.9950,1301.1350,1282.6250,393555.5000,3.3514 ,58.8145,18.5100,1267.8833,1280.3497,1287.2135,7.2050 ,1291.7020,12.5800,0.9854 ,0.0165 ,32404749.3150,77.1500,1.9950 
1288.4000,1295.9950,1301.1350,1282.6250,393555.5000,3.3514 ,58.8145,18.5100,1267.8833,1280.3497,1287.2135,7.2050 ,1291.7020,12.5800,0.9854 ,0.0165 ,32404749.3150,77.1500,1.9950 
1270.6150,1271.9950,1276.3300,1262.1350,435739.5000,1.0864 ,-61.9577,15.1700,1271.2587,1278.7587,1286.1415,-26.8400,1283.3210,15.9550,1.2751 ,-0.0054,9198546.3685,76.8450,1.9600 
1270.6150,1271.9950,1276.3300,1262.1350,435739.5000,1.0864 ,-61.9577,15.1700,1271.2587,1278.7587,1286.1415,-26.8400,1283.3210,15.9550,1.2751 ,-0.0054,9198546.3685,76.8450,1.9600 
1284.9600,1274.3300,1287.2450,1271.4050,388683.0000,1.0093 ,-4.8424,15.8400,1274.2631,1279.1228,1286.3680,-4.4200,1278.5500,-2.0750,-0.1619,-0.0122,9106554.6225,76.4100,2.0150 
1284.9600,1274.3300,1287.2450,1271.4050,388683.0000,1.0093 ,-4.8424,15.8400,1274.2631,1279.1228,1286.3680,-4.4200,1278.5500,-2.0750,-0.1619,-0.0122,9106554.6225,76.4100,2.0150 
1269.1750,1278.7500,1283.0600,1264.0400,350408.5000,-0.1214,-83.6152,19.8850,1275.3344,1278.2096,1281.4100,-19.2250,1276.0800,-12.0200,-0.9265,-0.0144,-3437672.9865,77.0400,1.9450 
1269.1750,1278.7500,1283.0600,1264.0400,350408.5000,-0.1214,-83.6152,19.8850,1275.3344,1278.2096,1281.4100,-19.2250,1276.0800,-12.0200,-0.9265,-0.0144,-3437672.9865,77.0400,1.9450 
1291.1700,1277.5400,1292.8650,1276.9100,367694.5000,0.7539 ,24.3158,17.0200,1276.0906,1279.3039,1280.4765,20.5550,1280.2820,-6.2850,-0.4763,-0.0034,16196228.1750,77.0950,1.9850 
1291.1700,1277.5400,1292.8650,1276.9100,367694.5000,0.7539 ,24.3158,17.0200,1276.0906,1279.3039,1280.4765,20.5550,1280.2820,-6.2850,-0.4763,-0.0034,16196228.1750,77.0950,1.9850 
1280.2050,1292.1600,1300.3150,1277.4700,403584.0000,1.3335 ,29.6857,24.3900,1277.9923,1280.4626,1279.2760,7.9250 ,1281.7780,-9.1750,-0.9108,0.0059 ,12074353.7375,77.6750,1.9500 
